name,ID,SEX,ALIVE,COMPANY,ALIGN
Pinch (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Brad Trent (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Vile (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Rachel Dandridge (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Lenore Frankenstein (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Teekl (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Arthur Gordon Pym (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Susanna Dane (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Nallo (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Lost Boy (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Prester Omega (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Michael Dugan (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Barry Gwynn (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Charles Barton (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Cody Robbins (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Oshemar (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Yellow Kid (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Magdalene Kyle (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Carlos LaMuerto (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Carl Shuffler (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Krawskin (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Carl (Mutant) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Dana Hutton (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Alexander Gentry (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Erg (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Mervyn Pumpkinhead (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Wump Jump (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Timothy Jones (Adult) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Bernard Hoyster (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Uravo (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Eva (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
All-Blud (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Bizarro Lois Lane (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Zeeshan (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Garrison Slate (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Duela Dent (Earth-3),Secret Identity,Female Characters,Deceased Characters,DC,Neutral Characters
Rama Khan (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Gzoom (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Brother Inquisitor (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gareth Cargill (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Matt Falcone (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ensen (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Miranda Leevald (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Angela del Toro (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Zarin (Eternal) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Scrounger (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Hoggscarr (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Captain Ott (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Leila Davis (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Doctor Krypt (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Don Parisi (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Doctor Mobius (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Seeker (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Azrael (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Talon (Earth-3),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Palik (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Dangerous Doll (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Cathy Jones (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Chester Berry (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Curly (fisherman) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Joe Mallon (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Joey Milton (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
John Harris (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Rex Randolph (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Catherine Moranis (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jason Jerome (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Aegis (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Kim Lewis (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Luz Delgado (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Pinta (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Cissie Guthrie (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Charles Ralston (Earth-One),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Micheal Hamilton (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Verna Maijus (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Narcissus (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Rochelle LeBeau (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Nick Iona (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Pixie (Morlocks) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Double Trouble (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Muktong Mollie (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Cecilia Johnson (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jackie Starr (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Lisa Molinari (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jemiah (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Mary Gregory (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Sun Yat (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Susan Dane (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Master Monarch (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Vincent King (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Manat (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Red Guardian (Anton) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Felicity Smoak (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Liu Wo-Han (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
White Wolf (Hunter) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nicholas Rutledge (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Boris Vadim (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Odysseus Indigo (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ezekiel Stane (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
John Williamson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jennifer Stavros (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Dorma (Clones) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Carter Ryking (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Jackson Arvad (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Pauline Stratton (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Lou Hackett (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Joseph Hogan (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Yeti (Inhuman) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nick Allen (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Professor Ramsey (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Robert Putnam (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Elvis Presley (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Mickey Fondozzi (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Demarest Dodds (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Wizened Sage (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Rax (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Avia (Savage Land) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Vincent Stevens (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
John Edgar Hoover (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Troy Killkelly (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Abraham Kieros (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Alexi Shostakov (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Secco (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Mister Gor (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Randall Jessup (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Riek Bukenya (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Richard Jones (Impersonator) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Teri Hillman (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Beast (Lobe) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Cyclops (Lobe) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gaffney (Earth-8410),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Phisherman (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jonathan Garrett (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Vampyr (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Clayton Cole (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ginny Guzman (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Cherry (NYPD) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Blackwulf (Lucian) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jamir Khan (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Laira Omoto (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Neutral Characters
Lynn Stewart (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Dondi Reese (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Bogat (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Javier Caldrone (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Killspree (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Kan-Z (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Titan (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Onomi Whitemane (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Elistis Diggenwell (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Integral Synaptic Anti-Anionic Computer (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Suzanne Gaffney (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Frank Carver (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Evelyn Necker (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Michael Shauneghan (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
John Lopez (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Abraham Lincoln (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Orwell (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Hades (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Iceman (Lobe) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Imp in the Violin (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jerry Malcom (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jurgen Muntz (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Uatu Jackson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Moira Gray (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Marvel Girl (Lobe) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Penny Newsom (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Matt Corbin (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Robert Tanaka (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Futura (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Hiram King (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Davida DeVito (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Cilicia (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Thoth (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Wendy Sherman (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Toro (Atlantean) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jennifer Stewart (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Metallax the Untamer (Legion Personality) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Megatu (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Edmond Winshed (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Max Kelvin (Legion Personality) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Helkooky (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Kreddik (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Hephaestus (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Agent of the Realm Between (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Shado (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Dane Gavin (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Duncan Corley (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Rafael Harris (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Robert Hinckley Long (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Gertrude Hunter (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Sabrina Nash (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Ivor (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
M-Nell (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Myra Haddock (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Richard Destine (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Cornell Cottonmouth (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Thermal Man (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Sinthia (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
Stayne (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Synth (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Twilight (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Kerwin Broderick (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Omega (Android) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Jacques LaPoint (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
John Anvil (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
All-Beard (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Anthony Stark (Doppelganger) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Quentin Harderman (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
L.D. 50 (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Captain Fear (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Eva Green (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Death-Doll (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Daniel Maris (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Luigi Maroni (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Devo (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Richard Palance (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Ferris Boyle (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Gordon Wright (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Frankie Carbone (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Gamesman (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Sega (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Getaway Jones (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Patty Patty (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Chris Claremont (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Max Eisenhardt (Machinesmith Robot) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Karl Kort (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Flex II (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Nina Dowd (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
Red Panzer II (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Packrat (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Bette Noir (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Dante (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Ebenezer Biggs (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Edward Skeevers (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Future Man (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Dark Rider (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Madame Death (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Lucia Viti (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Bad Characters
Cynthia Brand (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
Acolyte (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Boss Barker (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Louis Wilson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Bessie (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Carlton Velcro (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Holly Green (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Kekona (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Thelius (Blue Marvel) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Lizard King (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Azrael (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Joe Bandano (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Val Rhymin (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Deacon (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Mysterion (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Victor Kohl (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Harald Jaekelsson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Monkey-in-the-Middle (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Aloysius Thorndrake (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Cannon Foot (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Scarlet Scythe (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Charliehorse (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Dino-Mite II (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Galina Nemirovsky (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Saw Fist (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Erik Verdalian (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Eamon Garcia (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Adam (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Bruiser (Mercenary) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Jeremy Briggs (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Marcus Roston (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Omegex (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Radioactive Kid (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Fishmonger (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Dancing Water (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Harvest I (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Hindenberg (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Kona Lor (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Bad Characters
Shadowstalker (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Casey Krinsky (New Earth),Public Identity,Female Characters,Living Characters,DC,Bad Characters
Bartol Utler (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Arkea (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Marlon Dall (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Ruth (Angel) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Rhombus (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Maximus Lobo (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Alexander Bont (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Clay (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Thurber Avian (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Bang Bang (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Blindspot (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Anti-Hero (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Mallen (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Scramjet (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Ricky Calusky (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Anton Satan (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Burst (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Damon Ryder (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Omega Black (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Charlie Cluster-7 (Weapon XIII) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
William Beezer (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Witchazel (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Yellow of the Rainbow Raiders (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
The Philistine (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Zhang Xiaomei (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
Meltdown (Russian) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Akahara (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Android Man (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Wardell Washington (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
General Chen (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Reynard Slinker (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Benjamin Vitale (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Blind Fury (New Earth),Secret Identity,Female Characters,Living Characters,DC,Bad Characters
